Study Accession,Sample Accession or Sample ID,gmhi_value,isHealthy
PRJEB15371,SAMEA4431901,-10.4476657434986,False
PRJEB21528,SAMEA104142301,-9.259068822158705,False
PRJEB21528,SAMEA104142237,-9.117482431003221,False
PRJEB21528,SAMEA104142095,-8.765672460969341,False
N7,SAMN08813993,-8.055505161152505,False
PRJEB21528,SAMEA104142287,-8.04672069457648,False
PRJEB15371,SAMEA4431904,-8.018616363020898,False
PRJEB10878,SAMEA3541469,-7.959779072215901,False
PRJEB6070,SAMEA2466944,-7.7977856852064855,False
PRJEB10878,SAMEA3541507,-7.74380210382127,False
PRJEB10878,SAMEA3541476,-7.704916546761949,False
PRJEB21528,SAMEA104142274,-7.665622637110177,False
PRJEB21528,SAMEA104142091,-7.509656766928626,False
PRJEB21528,SAMEA104142321,-7.4931793116134235,False
PRJEB15371,SAMEA4431884,-7.442816868107077,False
PRJEB21528,SAMEA104142267,-7.420510983772878,False
PRJEB10878,SAMEA3541582,-7.356013291055161,False
PRJEB6070,SAMEA2466984,-7.28400120956632,False
L1,SAMEA2582088,-7.218909519274009,False
PRJEB21528,SAMEA104142264,-7.182374378661116,False
PRJEB10878,SAMEA3541567,-7.165603146613493,False
PRJEB21528,SAMEA104142259,-7.025278413145799,False
PRJEB21528,SAMEA104142258,-7.005117542127607,False
N7,SAMD00114813,-6.970795076519926,False
PRJEB10878,SAMEA3541596,-6.86858274922231,False
PRJEB21528,SAMEA104142090,-6.81628489626589,False
PRJEB21528,SAMEA104142189,-6.774301388784891,False
PRJEB21528,SAMEA104142248,-6.6999087605849805,False
PRJEB7774,SAMEA3136730,-6.606327872568698,False
PRJEB21528,SAMEA104142276,-6.599146601072415,False
PRJEB21528,SAMEA104142188,-6.5652799289236805,False
L1,SAMEA2582161,-6.539910467469935,False
PRJEB6997,SAMEA2737715,-6.509951030824135,False
PRJEB1220,SAMEA2042744,-6.476418666603337,False
L1,SAMEA2582154,-6.467593437525801,False
PRJEB21528,SAMEA104142157,-6.46096098726216,False
PRJEB21528,SAMEA104142284,-6.302951859329756,False
PRJEB12449,SAMEA3879596,-6.271845926151551,False
PRJEB6070,SAMEA2466904,-6.227823907116481,False
L1,SAMEA2582075,-6.202776793617225,False
PRJEB21528,SAMEA104142317,-6.194677473676324,False
PRJEB6070,SAMEA2466996,-6.153179608385812,False
PRJEB21528,SAMEA104142170,-6.124077338352495,False
PRJEB10878,SAMEA3541475,-6.100635766148832,False
N5,SRR5279239,-6.068375477405403,False
PRJEB21528,SAMEA104142246,-6.026111521725749,False
PRJEB21528,SAMEA104142308,-6.003938001343255,False
PRJEB7774,SAMEA3136691,-6.001178854573084,False
PRJEB21528,SAMEA104142239,-5.99512464864691,False
PRJEB21528,SAMEA104142297,-5.938966557132359,False
PRJEB7774,SAMEA3136739,-5.914269387294139,False
PRJEB6997,SAMEA2737730,-5.857427722755793,False
N7,SAMD00114753,-5.849627423163881,False
PRJEB15371,SAMEA4431914,-5.71731183625077,False
L1,SAMEA2582124,-5.694467048298571,False
PRJEB21528,SAMEA104142277,-5.660037766236624,False
PRJEB7774,SAMEA3136765,-5.6560853699256075,False
PRJEB21528,SAMEA104142260,-5.654602710833511,False
PRJEB6070,SAMEA2466938,-5.634189248251533,False
PRJEB7774,SAMEA3136726,-5.620476385797197,False
PRJEB21528,SAMEA104142149,-5.598367330798845,False
L1,SAMEA2582074,-5.586703415186618,False
PRJEB15371,SAMEA4431880,-5.567619644647931,False
PRJEB6997,SAMEA2737737,-5.45673724529089,False
PRJEB15371,SAMEA4431909,-5.4215083877445185,False
PRJEB6997,SAMEA2737687,-5.399776171116031,False
PRJEB10878,SAMEA3541587,-5.381612196739478,False
PRJEB15371,SAMEA4431903,-5.3640650651241595,False
PRJEB1220,SAMEA2042619,-5.318949030597194,True
PRJEB10878,SAMEA3541482,-5.310003753465951,False
PRJEB6070,SAMEA2466927,-5.278338767599807,False
PRJEB21528,SAMEA104142302,-5.2778282370643845,False
PRJNA422434,SAMN00715147,-5.273558236424808,False
PRJEB21528,SAMEA104142262,-5.2725563183784505,False
PRJEB10878,SAMEA3541494,-5.2017208374414485,False
PRJEB21528,SAMEA104142310,-5.186730653038699,False
PRJEB15371,SAMEA4431870,-5.17407943673961,False
PRJEB15371,SAMEA4431905,-5.133375519256696,False
N4,SRR5275422,-5.112864510721752,False
N4,SRR5275453,-5.105920726673859,False
PRJEB6070,SAMEA2466941,-5.0936251949243045,False
PRJEB15371,SAMEA4431928,-5.0884668082888505,False
PRJEB15371,SAMEA4431887,-5.075092105125596,False
PRJEB1786,SAMEA1906552,-5.071205239248403,False
PRJEB10878,SAMEA3541499,-5.048739520935082,False
PRJEB7774,SAMEA3136766,-5.042597752273144,False
