Study Accession,Sample Accession or Sample ID,MDS1,MDS2,isHealthy
PRJEB15371,SAMEA4431901,-0.28821083255289615,0.5421601855747559,False
PRJEB21528,SAMEA104142301,-0.039014132518997144,0.4819145758624596,False
PRJEB21528,SAMEA104142237,-0.04908379602589481,0.5007615774392705,False
PRJEB21528,SAMEA104142095,-0.16901000763334809,0.5700588366853789,False
N7,SAMN08813993,-0.1253405751804526,0.4776580999317276,False
PRJEB21528,SAMEA104142287,-0.14112154854596284,0.36819741193052896,False
PRJEB15371,SAMEA4431904,-0.21786605289415847,0.7394883700372822,False
PRJEB10878,SAMEA3541469,-0.12885019891470098,-0.18228634284860798,False
PRJEB6070,SAMEA2466944,0.04181108201284382,0.3772741728556623,False
PRJEB10878,SAMEA3541507,-0.18331488204523202,0.18874276856685723,False
PRJEB10878,SAMEA3541476,-0.391412506288425,0.45601847213827973,False
PRJEB21528,SAMEA104142274,-0.22266026984981363,0.39421817776910123,False
PRJEB21528,SAMEA104142091,-0.1234720104738287,0.30362218540547115,False
PRJEB21528,SAMEA104142321,-0.021869156362288023,0.521360926247169,False
PRJEB15371,SAMEA4431884,-0.5011921406117416,0.3715144505271031,False
PRJEB21528,SAMEA104142267,-0.13317180260370887,0.4369709221600706,False
PRJEB10878,SAMEA3541582,-0.2492567359961082,0.25669010363210554,False
PRJEB6070,SAMEA2466984,0.12730448741225542,0.26322494221158027,False
L1,SAMEA2582088,-0.0675137146752783,0.45778382829561537,False
PRJEB21528,SAMEA104142264,-0.005758191376303697,0.2739941845628005,False
PRJEB10878,SAMEA3541567,-0.11215647771259336,0.5124085976079304,False
PRJEB21528,SAMEA104142259,-0.23080092739253047,0.5436573194067098,False
PRJEB21528,SAMEA104142258,-0.18974449356350367,0.3248735674301074,False
N7,SAMD00114813,-0.368114748889484,0.4784796123360547,False
PRJEB10878,SAMEA3541596,-0.24563721383565934,0.38108507914290884,False
PRJEB21528,SAMEA104142090,-0.3664167936340165,0.11895272600878513,False
PRJEB21528,SAMEA104142189,-0.3944560188338893,0.3291662861428179,False
PRJEB21528,SAMEA104142248,-0.2290008135531562,0.3425003947070978,False
PRJEB7774,SAMEA3136730,0.12973238100043769,0.383046146076137,False
PRJEB21528,SAMEA104142276,-0.19505025429751024,0.31314102769060664,False
PRJEB21528,SAMEA104142188,-0.17767807233515873,0.34021529868532674,False
L1,SAMEA2582161,-0.24286646109625112,0.5023909220847835,False
PRJEB6997,SAMEA2737715,-0.11691225903723469,0.31375584691112957,False
PRJEB1220,SAMEA2042744,0.10637661760248221,0.4150713674106755,False
L1,SAMEA2582154,0.06894302392957935,0.4800092514977143,False
PRJEB21528,SAMEA104142157,-0.3699883267758703,0.35976005444522574,False
PRJEB21528,SAMEA104142284,-0.18497688520937566,0.3330707797326762,False
PRJEB12449,SAMEA3879596,-0.30735283002771996,-0.01368187067544103,False
PRJEB6070,SAMEA2466904,0.05671624960559607,0.39510868313375036,False
L1,SAMEA2582075,0.03461954754582102,0.3979255550047244,False
PRJEB21528,SAMEA104142317,-0.12226578030946456,0.4176278237722437,False
PRJEB6070,SAMEA2466996,0.2553503649322725,0.30446628217841754,False
PRJEB21528,SAMEA104142170,0.09547650577925852,0.35371700305830817,False
PRJEB10878,SAMEA3541475,-0.26110434049330705,0.30918519822505713,False
N5,SRR5279239,0.023226386486198024,0.5674338113805796,False
PRJEB21528,SAMEA104142246,0.05031295042103942,0.36433567994092714,False
PRJEB21528,SAMEA104142308,-0.1875337268478884,0.29938312658779975,False
PRJEB7774,SAMEA3136691,0.2689192496806155,0.346859973116198,False
PRJEB21528,SAMEA104142239,-0.08794282261163973,0.3587889367383368,False
PRJEB21528,SAMEA104142297,-0.22371996032923858,0.2848582186314133,False
PRJEB7774,SAMEA3136739,-0.11973284892131038,0.29479331310233753,False
PRJEB6997,SAMEA2737730,-0.16102025033141226,0.3271737102455541,False
N7,SAMD00114753,0.04096893998770125,0.4736511142665397,False
PRJEB15371,SAMEA4431914,-0.30992265293133503,0.644933886339835,False
L1,SAMEA2582124,-0.3980033116289366,0.09587693985887971,False
PRJEB21528,SAMEA104142277,-0.17250018726084432,0.2684802090433832,False
PRJEB7774,SAMEA3136765,0.05313204170671626,0.27712871408346673,False
PRJEB21528,SAMEA104142260,-0.0710976120410188,0.33159914347778113,False
PRJEB6070,SAMEA2466938,0.2371143227137195,0.17889323530583684,False
PRJEB7774,SAMEA3136726,0.14075506864530424,0.2883473412186943,False
PRJEB21528,SAMEA104142149,-0.3281441479288566,0.31996228081649075,False
L1,SAMEA2582074,-0.07452913095869304,0.28809929228137016,False
PRJEB15371,SAMEA4431880,-0.5302015837535292,0.30306026586147067,False
PRJEB6997,SAMEA2737737,0.12136234316155914,0.34153504825679826,False
PRJEB15371,SAMEA4431909,-0.5519733650855871,0.1711280478691231,False
PRJEB6997,SAMEA2737687,-0.05054074321583017,0.3536569010195668,False
PRJEB10878,SAMEA3541587,-0.1628956570351504,0.3219972212784531,False
PRJEB15371,SAMEA4431903,-0.441963185001807,0.5165471509299008,False
PRJEB1220,SAMEA2042619,-0.11430270772025508,0.07916651950411184,True
PRJEB10878,SAMEA3541482,-0.18014874044186377,0.29310889823386593,False
PRJEB6070,SAMEA2466927,-0.1706582955700682,0.022992395811609077,False
PRJEB21528,SAMEA104142302,-0.23291727490528452,0.21390965081083632,False
PRJNA422434,SAMN00715147,-0.3438260069622324,0.4705423990166553,False
PRJEB21528,SAMEA104142262,-0.17277612712077056,0.6461563325313128,False
PRJEB10878,SAMEA3541494,-0.4167159858107614,0.26390026035598685,False
PRJEB21528,SAMEA104142310,-0.1902690123917213,0.3759271394558957,False
PRJEB15371,SAMEA4431870,-0.5342594682134891,0.2747779088325508,False
PRJEB15371,SAMEA4431905,-0.4807615208656119,0.43646959927384155,False
N4,SRR5275422,-0.004347278788887124,0.41404876930097156,False
N4,SRR5275453,0.04368458254275722,0.4504523579047507,False
PRJEB6070,SAMEA2466941,-0.16068461086946595,0.3602978467556032,False
PRJEB15371,SAMEA4431928,-0.4847922010257027,0.16024701433704552,False
PRJEB15371,SAMEA4431887,-0.5204427210609707,0.15952185069111058,False
PRJEB1786,SAMEA1906552,-0.10440119195023231,0.3711282834899179,False
PRJEB10878,SAMEA3541499,-0.01060127922917157,0.2795780659389719,False
PRJEB7774,SAMEA3136766,0.08321770692098437,0.3202824553463168,False
PRJEB6997,SAMEA2737859,0.04139564145755426,0.11842629537265764,False
L1,SAMEA2582125,-0.2500344404267664,0.35685490817613374,False
PRJEB7774,SAMEA3136734,-0.09502023481992473,0.2634451702587066,False
L1,SAMEA2582142,-0.2482072181200316,0.44424689612738694,False
PRJNA422434,SAMN00993240,-0.6463269608824856,0.28457900583058965,False
